Measuring station manager;Measuring station;Processor;Processing date;Subject;Phase;repetition no.;Neck girth;Back neck point to waist;Upper arm girth R;Upper arm girth L;Back neck point to wrist R;Back neck point to wrist L;Across back shoulder width;Bust girth;Waist girth;Hip girth;Thigh girth R;Thigh girth L;Total crotch length;Inside leg height;Lowaist;error
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_05;1;1;335;375;315;;790;;430;920;800;1065;675;;810;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_05;1;2;345;370;310;;760;;405;925;810;965;655;;790;725;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_12;1;1;325;380;250;;750;;420;780;630;920;495;;695;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_12;1;2;305;385;260;;740;;420;805;640;920;520;;690;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_13;1;1;355;375;285;;755;;405;880;720;1000;560;;800;770;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_13;1;2;355;375;280;;745;;390;860;715;1010;595;;815;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_14;1;1;390;380;315;;785;;430;1055;945;1040;630;;855;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_14;1;2;380;375;305;;770;;435;1055;950;1035;620;;820;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_15;1;1;400;425;340;;845;;460;990;890;1030;570;;915;735;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_15;1;2;405;445;340;;840;;505;985;910;1055;600;;865;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_17;1;1;420;470;355;;870;;455;1090;1045;1115;630;;900;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_17;1;2;430;460;350;;890;;440;1090;1030;1115;660;;925;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_18;1;1;380;410;315;;715;;430;890;765;990;600;;800;685;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_18;1;2;380;415;320;;730;;425;870;780;1010;580;;795;685;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_19;1;1;325;380;260;;770;;400;865;730;960;530;;735;835;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_19;1;2;345;355;260;;785;;385;860;745;955;535;;735;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_20;1;1;390;460;315;;860;;;960;960;1020;575;;805;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_20;1;2;385;445;315;;825;;435;990;960;1030;575;;800;830;;
