,neck_girth,bust_chest_girth,waist_girth,hip_girth,upper_arm_girth,thigh_girth,stature,age
724,33.74266,87.649536,81.70978,105.94781,30.142504,61.4452,165.25853,23
725,33.257027,88.02723,81.80116,105.92337,30.619509,61.061214,164.89563,23
759,32.244907,88.84355,73.2154,94.41285,28.542591,51.799763,162.3802,43
760,31.866825,87.707085,74.20761,94.89668,28.401756,51.590157,163.02505,43
830,37.431225,105.710495,99.11251,114.84706,35.69959,65.62554,162.01872,57
831,36.977077,107.29799,99.14339,115.053154,35.922928,65.74832,162.02786,57
848,37.46125,98.60788,94.87625,121.83814,35.22984,70.349846,181.27449,37
849,37.106365,99.214066,94.44587,121.82913,35.451355,70.60269,181.52806,37
866,35.015938,97.77912,83.2411,107.48515,31.379498,63.291687,157.35803,19
867,34.250553,97.45222,82.49305,106.50033,31.15886,63.24157,157.07079,19
884,33.927666,89.152916,86.88571,108.858086,31.18003,61.355507,176.35567,45
885,34.190296,88.50786,86.74829,109.3271,31.050846,61.521824,176.32854,45
938,39.543842,106.09443,97.10374,113.268234,33.941776,65.88972,168.1595,47
939,39.702568,107.11483,100.40427,113.681816,34.018345,65.903,167.06004,47
992,40.340015,109.64141,93.90627,113.348564,37.089687,66.985954,160.38919,43
993,40.14581,110.07724,93.63681,113.23376,37.245296,66.91591,159.95552,43
1010,33.902657,85.312355,75.11835,95.989136,27.801933,55.14538,157.87828,37
1011,33.610706,85.42033,75.14317,94.74238,27.908033,55.29252,157.85297,37
1028,37.26143,99.73304,89.71308,103.50678,32.334057,58.999645,165.3476,35
1029,36.752934,99.8274,90.03398,103.67041,32.399258,58.9146,165.98764,35
1082,34.873165,92.89778,80.75078,108.48137,33.604446,64.887535,157.35124,27
1083,34.845253,93.26385,81.06883,108.78414,33.692745,64.53018,157.76517,27
1135,40.877373,115.59,108.27637,133.96469,42.837006,77.07096,169.99564,23
1136,40.954815,115.1506,108.77261,133.40916,42.713715,77.10289,169.5649,23
1153,32.429916,86.93789,76.32957,94.27127,27.382267,55.14218,160.0277,19
1154,32.83963,87.5693,76.50933,94.581894,27.560413,54.92331,160.76213,19
1171,32.226498,88.74084,79.56261,100.37378,32.41846,59.763996,165.99287,24
1172,32.230103,88.81786,80.19206,100.91042,32.360573,59.596085,165.62192,24
1243,36.90577,107.44691,89.66295,107.03237,35.357094,60.22966,162.50436,36
1244,36.179577,107.59352,89.7897,107.05341,35.381573,60.406376,162.23853,36
1261,33.566563,82.365814,77.03303,95.84488,28.894833,55.4567,160.87392,18
1262,33.335625,82.61523,77.241005,95.19354,28.887028,55.016754,160.84808,18
1333,37.632793,98.4176,96.286446,109.04409,32.143013,58.31925,154.58621,51
1334,36.30817,98.832535,96.241234,108.37831,32.243748,58.722378,155.39128,51
1351,31.362339,80.06964,71.17441,92.723076,28.000078,54.34578,158.47595,24
1352,31.049997,79.949165,72.2111,92.94236,27.923292,53.644012,157.5594,24
1387,38.187725,111.23242,109.56762,131.42992,38.5289,80.50697,173.60313,20
1388,37.718124,112.190155,109.651825,130.97565,39.05316,80.654015,173.40266,20
1405,32.496483,84.0651,76.93871,95.450485,27.709433,54.78982,168.02747,36
1406,32.45268,83.62022,77.26614,95.573494,27.980873,54.65195,168.0645,36
1477,35.699337,89.3615,76.98087,99.51642,29.578758,58.843243,162.25478,23
1478,35.159092,88.73942,76.96844,99.37848,29.843023,59.085022,161.67543,23
1495,31.611422,90.39834,75.57235,96.56826,28.279776,55.985188,165.04486,39
1496,31.954903,89.86575,74.94584,96.70548,27.932358,56.346405,165.29227,39
1513,33.232914,90.53548,79.58684,94.87835,29.502756,55.97191,160.93854,18
