,neck_girth,bust_chest_girth,waist_girth,hip_girth,upper_arm_girth,thigh_girth,stature,age
742,39.362164,99.37926,89.85168,101.42636,34.283154,58.04497,173.06406,32
743,39.175293,99.160194,90.14591,101.459206,34.26735,58.48697,173.00452,32
776,41.783913,108.40251,95.73859,109.59618,34.079742,63.85515,180.7808,25
777,41.03929,107.23707,95.71454,110.04285,34.01614,64.03422,180.85747,25
794,41.968323,111.611725,110.96802,114.82493,37.196957,67.50885,193.32164,42
795,42.08236,110.77601,110.84302,115.45389,37.27504,67.405045,193.12735,42
812,40.78794,102.7739,86.36397,102.102684,35.9802,60.22563,174.90259,24
813,41.206657,103.2419,86.371025,102.32322,36.25321,60.579308,174.74512,24
902,39.71079,110.65078,93.99103,106.09071,38.19261,62.279213,173.54706,26
903,39.81207,111.07671,93.548515,106.613556,38.590633,62.2157,173.60292,26
920,37.137913,96.6159,85.882484,105.23114,32.934895,61.805416,188.27599,22
921,37.303818,97.12432,85.392685,104.78704,33.10188,62.19705,188.40984,22
956,46.52998,109.05232,112.633606,116.03692,37.714287,68.49008,174.41458,35
957,46.420254,109.37877,112.4568,116.43503,37.59749,68.35304,174.78233,35
974,35.387356,95.04141,85.32116,96.850624,33.29333,57.2542,166.03925,37
975,35.772144,95.76807,85.29174,96.841156,33.507935,57.201546,166.34956,37
1046,40.757076,97.480225,90.22706,93.85298,32.918835,55.709,165.10013,49
1047,40.908813,97.375626,90.33555,93.99874,32.87316,55.556435,165.00577,49
1064,41.808136,94.77276,92.16773,96.37064,30.222029,53.568436,160.8765,40
1065,42.165325,95.33096,91.80093,95.937386,30.487967,53.65098,161.01039,40
1099,35.579124,93.93487,88.9018,102.5234,30.943403,58.166134,169.91736,42
1100,36.072426,93.64149,88.92604,102.27888,30.769175,58.234478,169.7256,42
1117,36.399555,97.99727,87.4354,98.1825,33.323975,57.159954,175.89874,31
1118,36.167,98.5134,87.93011,97.825714,33.6064,57.161568,175.88824,31
1189,35.341568,87.66623,76.15965,93.88492,28.907576,54.99019,171.81139,21
1190,34.82341,88.47294,77.17807,93.65213,28.622967,54.961323,171.5171,21
1207,37.311115,95.28053,87.29903,102.270164,32.489132,56.836273,188.09769,24
1208,36.877228,96.89213,87.36437,101.90173,32.323162,56.767593,188.76497,24
1225,37.687466,90.785614,76.33415,91.24535,29.362648,49.88243,180.53014,39
1226,37.33225,90.77189,76.12252,90.41068,28.767502,49.540813,181.35197,39
1279,40.194923,102.06871,91.29551,107.00561,36.31417,62.197292,173.63751,22
1280,40.603146,100.44189,91.06182,106.489586,36.178173,62.383224,173.53589,22
1297,39.704193,105.748344,105.52958,110.50588,35.15758,66.05247,179.25926,32
1298,40.30768,105.935646,105.19874,110.937164,34.992615,66.37494,179.11662,32
1315,43.491066,113.54031,110.07489,110.207436,37.78651,65.90871,164.8055,43
1316,43.47455,112.371994,110.539055,109.99114,37.73199,66.259346,165.01614,43
1369,45.321335,116.20009,115.971634,116.69302,36.68357,105.58698,176.86679,39
1370,46.073254,116.71882,115.59963,116.6271,36.81508,106.04244,176.46036,39
1423,37.84588,98.069046,95.349045,99.9222,32.640163,56.860657,171.87999,50
1424,38.213505,98.87543,94.46071,99.84216,32.765663,57.239216,171.95541,50
1441,39.73006,104.00193,91.36303,98.45397,32.064266,56.015884,168.13966,43
1442,39.910477,104.49282,90.503105,98.4745,32.219036,55.830658,168.46994,43
1459,41.439034,107.696915,100.59119,103.48814,32.66374,58.57242,176.3148,48
1460,41.66304,108.37875,100.99034,103.75137,32.17896,58.408157,176.17273,48
1530,43.73111,104.396126,93.1914,101.29142,32.182495,70.99479,172.65884,47
1531,43.74152,104.4739,92.912796,101.36999,32.358326,56.839287,172.52948,47
1548,37.329132,94.91865,88.120674,101.200226,31.332184,58.879353,187.06299,39
1549,37.460197,94.91869,87.98135,101.001564,31.531202,58.576023,187.19469,39
1583,37.04892,94.12282,84.20216,97.74255,30.403936,57.244408,179.87753,24
1584,37.015705,93.68865,84.083015,97.05014,30.518263,56.910133,179.63707,24
1637,37.348465,91.79651,82.5836,99.89844,31.886662,58.28136,184.82687,19
1638,37.395332,93.53428,81.6913,99.18304,31.78242,57.878082,185.48462,19
1655,37.68694,98.44717,88.40737,108.73246,35.74722,64.0751,179.96815,18
1656,37.564724,98.94931,88.46705,108.30178,35.827953,64.25341,180.05058,18
1709,42.19781,100.2131,90.01619,97.604706,33.21211,56.875145,174.04753,28
1710,41.16519,99.641815,89.9161,97.72998,33.053825,56.511734,174.33618,28
1745,37.783073,99.8162,86.67261,98.912094,35.50617,60.69287,174.50346,22
1746,37.628082,100.44948,86.66017,99.1074,35.70417,60.66444,174.33354,22
1763,39.992744,102.83368,90.42683,103.74607,33.560787,60.389507,179.07555,29
1764,40.02289,103.29749,90.52985,103.38046,33.157303,60.488846,178.90407,29
1799,39.797043,99.40637,83.47379,100.68145,35.47795,62.755466,167.8594,29
1800,39.585297,98.85492,83.387,100.78069,35.284595,62.53525,168.1596,29
1853,43.030087,106.7663,97.741455,110.5597,37.35882,66.737915,176.22285,39
1854,43.13271,107.102516,97.52692,110.03922,37.560593,66.775696,175.6723,39
1889,38.50038,101.58687,88.90995,102.06698,33.000156,58.49249,169.88266,39
1890,38.33423,101.07448,88.95605,102.0421,33.311607,58.308918,169.7071,39
1907,35.934017,93.37448,75.24344,94.56108,33.000496,57.7739,165.5236,22
1908,36.00485,94.260445,75.05665,94.745865,32.94038,57.943058,165.61755,22
1961,45.18516,121.00058,121.853935,115.197586,38.157513,99.69431,193.12878,55
1962,45.26208,121.10625,122.19399,115.340355,37.990532,66.62138,193.01828,55
1997,37.7625,93.55117,90.01814,98.929596,32.805546,56.67481,178.57352,25
1998,37.731243,93.205795,89.82489,99.03159,32.755203,56.697918,178.36568,25
