Measuring station,Neck girth,Back neck point to waist,Upper arm girth (right),Back neck point to wrist (right),Across back shoulder width,Bust girth,Waist girth,Hip girth,Thigh girth (right),Total crotch length,Inside leg height
Expert measurer 1,0.980,0.911,0.982,0.964,0.938,0.990,0.990,0.988,0.980,0.925,0.948
Expert measurer 2,0.983,0.769,0.980,0.965,0.919,0.990,0.995,0.995,0.982,0.929,0.984
Expert measurer 3,0.978,0.865,0.983,0.952,0.851,0.995,0.997,0.992,0.968,0.963,0.983
Expert measurer 4,0.984,0.912,0.979,0.958,0.951,0.990,0.991,0.992,0.983,0.911,0.975
Expert measurer 5,0.980,0.884,0.994,0.984,0.936,0.990,0.995,0.994,0.990,0.945,0.988
SS20,0.992,0.968,0.990,0.984,0.981,0.998,0.995,0.994,0.982,0.965,0.980
Vitus,0.994,0.943,0.976,0.987,0.924,0.997,0.997,0.998,0.997,0.983,0.991
PortalMX,0.988,0.986,0.987,0.974,0.895,0.995,0.999,0.999,0.993,0.977,0.991
MOVE4D,0.996,0.972,0.996,0.988,0.973,0.994,0.998,0.999,0.998,0.978,0.995
SS@Home,0.966,0.932,0.972,0.946,0.917,0.985,0.991,0.991,0.980,0.969,0.966
3DLOOK,0.998,0.992,0.986,0.991,0.985,0.990,0.985,0.993,0.984,0.987,0.997
eM+,0.997,0.995,0.997,0.993,0.993,0.997,0.998,0.996,0.996,0.995,0.994
3Davatar body,0.985,0.968,0.986,0.972,0.968,0.988,0.996,0.995,0.993,0.977,0.990
