,gender,iteration,loss,elapsed_time,steps,steps interval,rep
0,female,913,1.9987288e-05,158.4007408618927,50,200,0
1,female,732,1.9989315e-05,127.45466160774231,60,200,0
2,female,744,1.9987947e-05,126.04976296424866,70,200,0
3,female,747,1.999257e-05,124.11859440803528,80,200,0
4,female,707,1.9981984e-05,117.65366864204407,90,200,0
5,female,695,1.9988489e-05,115.33131051063538,100,200,0
6,female,600,1.9998279e-05,99.77410960197449,110,200,0
7,female,747,1.999081e-05,124.3711941242218,120,200,0
8,female,685,1.9987776e-05,113.90061974525452,130,200,0
9,female,704,1.9994814e-05,117.12449312210083,140,200,0
10,female,917,1.999417e-05,152.57535362243652,150,200,0
11,female,761,1.9999708e-05,126.83884501457214,160,200,0
12,female,933,1.999845e-05,155.30816435813904,170,200,0
13,female,710,1.998288e-05,118.21361947059631,180,200,0
14,female,718,1.9987201e-05,119.56524014472961,190,200,0
15,female,717,1.9990644e-05,119.40838170051575,200,200,0
16,female,699,1.9978954e-05,116.56507515907288,210,200,0
17,female,752,1.9996176e-05,125.07435607910156,220,200,0
18,female,749,1.999966e-05,124.58373308181763,230,200,0
19,female,885,1.9906316e-05,147.17767310142517,240,200,0
20,female,1143,1.9994124e-05,190.35693550109863,50,250,0
21,female,937,1.999571e-05,156.16777634620667,60,250,0
22,female,850,1.9978841e-05,141.5787434577942,70,250,0
23,female,729,1.9998703e-05,121.1739866733551,80,250,0
24,female,841,1.993098e-05,140.08687448501587,90,250,0
25,female,693,1.9982264e-05,115.49025678634644,100,250,0
26,female,713,1.9997698e-05,118.31390714645386,110,250,0
27,female,656,1.9983847e-05,109.15573239326477,120,250,0
28,female,674,1.9996922e-05,112.53807711601257,130,250,0
29,female,746,1.9996718e-05,124.56732082366943,140,250,0
30,female,678,1.9983423e-05,112.81263089179993,150,250,0
31,female,701,1.9994812e-05,116.75293684005737,160,250,0
32,female,840,1.9977519e-05,140.0133023262024,170,250,0
33,female,734,1.9987843e-05,121.9234607219696,180,250,0
34,female,719,1.9991614e-05,119.8083016872406,190,250,0
35,female,737,1.9990548e-05,122.84237480163574,200,250,0
36,female,705,1.9992418e-05,117.53613471984863,210,250,0
37,female,742,1.9984747e-05,123.44480562210083,220,250,0
38,female,741,1.9986688e-05,123.6211805343628,230,250,0
39,female,730,1.9998677e-05,121.5943033695221,240,250,0
40,female,1022,1.9989599e-05,170.46324801445007,50,300,0
41,female,980,1.997737e-05,163.58776831626892,60,300,0
42,female,835,1.9989424e-05,139.34844946861267,70,300,0
43,female,1166,1.9993986e-05,194.04140901565552,80,300,0
44,female,770,1.9995032e-05,128.5210952758789,90,300,0
45,female,803,1.9992227e-05,133.34566593170166,100,300,0
46,female,720,1.9986132e-05,119.93919897079468,110,300,0
47,female,769,1.999866e-05,128.1675205230713,120,300,0
48,female,879,1.999368e-05,146.195885181427,130,300,0
49,female,741,1.9997602e-05,123.0797929763794,140,300,0
50,female,725,1.9990206e-05,120.58656787872314,150,300,0
51,female,728,1.9984953e-05,121.01058292388916,160,300,0
52,female,757,1.999524e-05,126.14774990081787,170,300,0
53,female,735,1.9991021e-05,122.27733945846558,180,300,0
54,female,758,1.9985066e-05,125.92535758018494,190,300,0
55,female,770,1.9993817e-05,128.2000195980072,200,300,0
56,female,772,1.9994346e-05,128.51407837867737,210,300,0
57,female,795,1.9997751e-05,132.76539635658264,220,300,0
58,female,789,1.9993824e-05,131.63277292251587,230,300,0
59,female,780,1.9998955e-05,130.00455355644226,240,300,0
60,female,925,1.9996276e-05,154.4496853351593,50,200,1
61,female,706,1.9996976e-05,117.51545357704163,60,200,1
62,female,753,1.9988696e-05,125.9188003540039,70,200,1
63,female,714,1.9984207e-05,122.11237049102783,80,200,1
64,female,742,1.9993959e-05,129.67968130111694,90,200,1
65,female,696,1.998034e-05,121.36801815032959,100,200,1
66,female,705,1.9987265e-05,121.6639244556427,110,200,1
67,female,696,1.9990186e-05,115.79787635803223,120,200,1
68,female,725,1.9998626e-05,120.82776761054993,130,200,1
69,female,733,1.9999512e-05,122.22131776809692,140,200,1
70,female,929,1.9997504e-05,157.3167440891266,150,200,1
71,female,736,1.99955e-05,128.8115644454956,160,200,1
72,female,919,1.999236e-05,161.03309655189514,170,200,1
73,female,735,1.9993207e-05,128.59767293930054,180,200,1
74,female,701,1.9986994e-05,122.79342246055603,190,200,1
75,female,722,1.9996718e-05,122.14154744148254,200,200,1
76,female,764,1.998296e-05,127.32458853721619,210,200,1
77,female,758,1.998765e-05,126.67288303375244,220,200,1
78,female,712,1.9988976e-05,118.84324049949646,230,200,1
79,female,911,1.9989922e-05,151.82239389419556,240,200,1
80,female,1346,1.9994986e-05,224.68314695358276,50,250,1
81,female,893,1.9993908e-05,149.4104664325714,60,250,1
